age_d;age_h;T;H_a;Cpm;psi_x;rho
1;1;5.1;79;0.0531697341513292;-3.94331395348837;366.931409498574
1;2;5.6;75;0.0531697341513292;-3.94331395348837;366.670191726545
1;3;5.8;74;0.0531697341513292;-3.94331395348837;366.408973954517
1;4;5.3;76;0.0531697341513292;-3.94331395348837;366.147756182489
1;5;5.4;73;0.0531697341513292;-3.94331395348837;365.886538410461
1;6;6.1;72;0.0531697341513292;-3.94331395348837;365.625320638433
1;7;7.6;67;0.0531697341513292;-3.94331395348837;365.364102866405
1;8;9.4;63;0.0531697341513292;-3.94331395348837;365.102885094376
1;9;10.5;59;0.177021792543947;-6.02920999999732;364.841667322348
1;10;12.5;55;0.292433537832311;-7.97295567804289;364.58044955032
1;11;14.2;49;0.391539850301947;-9.64208793185787;364.319231778292
1;12;15.4;46;0.467586798538975;-10.9228581567163;364.058014006264
1;13;16.5;44;0.515391908694564;-11.7279839783668;363.796796234235
1;14;17.3;46;0.531697341513292;-12.0025974025974;363.535578462207
1;15;17.6;44;0.515391908694564;-11.7279839783668;363.274360690179
1;16;17.9;45;0.467586798538975;-10.9228581567163;363.013142918151
1;17;16.7;48;0.391539850301947;-9.64208793185787;362.751925146123
1;18;15.4;52;0.292433537832311;-7.97295567804289;362.490707374094
1;19;14;58;0.177021792543947;-6.02920999999733;362.229489602066
1;20;12.6;64;0.0531697341513292;-3.94331395348837;361.968271830038
1;21;11.8;65;0.0531697341513292;-3.94331395348837;361.70705405801
1;22;11;67;0.0531697341513292;-3.94331395348837;361.445836285982
1;23;10.3;67;0.0531697341513292;-3.94331395348837;361.184618513954
1;24;9.4;69;0.0531697341513292;-3.94331395348837;360.923400741925
2;1;9.1;69;0.0531697341513292;-3.94331395348837;360.662182969897
2;2;8.3;72;0.0531697341513292;-3.94331395348837;360.400965197869
2;3;8.2;72;0.0531697341513292;-3.94331395348837;360.139747425841
2;4;7.5;74;0.0531697341513292;-3.94331395348837;359.878529653813
2;5;6.7;78;0.0531697341513292;-3.94331395348837;359.617311881784
2;6;8.2;76;0.0531697341513292;-3.94331395348837;359.356094109756
2;7;9.8;71;0.0531697341513292;-3.94331395348837;359.094876337728
2;8;11.8;64;0.0531697341513297;-3.94331395348838;358.8336585657
2;9;13;59;0.177021792543947;-6.02920999999732;358.572440793672
2;10;14.6;58;0.292433537832311;-7.97295567804288;358.311223021643
2;11;15.8;54;0.391539850301947;-9.64208793185788;358.050005249615
2;12;17.8;45;0.467586798538975;-10.9228581567163;357.788787477587
2;13;19.1;45;0.515391908694564;-11.7279839783668;357.527569705559
2;14;19.9;45;0.531697341513292;-12.0025974025974;357.266351933531
2;15;20.7;41;0.515391908694564;-11.7279839783668;357.005134161502
2;16;22;35;0.467586798538975;-10.9228581567163;356.743916389474
2;17;20.8;38;0.391539850301947;-9.64208793185787;356.482698617446
2;18;19;47;0.292433537832311;-7.97295567804289;356.221480845418
2;19;16;61;0.177021792543947;-6.02920999999733;355.96026307339
2;20;15.1;64;0.0531697341513292;-3.94331395348837;355.699045301362
2;21;14.4;61;0.0531697341513292;-3.94331395348837;355.437827529333
2;22;13.6;60;0.0531697341513292;-3.94331395348837;355.176609757305
2;23;12.7;62;0.0531697341513292;-3.94331395348837;354.915391985277
2;24;12.3;64;0.0531697341513292;-3.94331395348837;354.654174213249
3;1;10.9;72;0.0531697341513292;-3.94331395348837;354.392956441221
3;2;9.7;82;0.0531697341513292;-3.94331395348837;354.131738669192
3;3;10.2;81;0.0531697341513292;-3.94331395348837;353.870520897164
3;4;9.7;84;0.0531697341513292;-3.94331395348837;353.609303125136
3;5;9.5;86;0.0531697341513292;-3.94331395348837;353.348085353108
3;6;10.2;83;0.0531697341513292;-3.94331395348837;353.08686758108
3;7;11.6;77;0.0531697341513292;-3.94331395348837;352.825649809052
