age_d;age_h;pip;piv;pp;pv;sfstone;af;ctcs;pif;tf;cv;ua;ux1;up1;khx;khp;ux;up;masfls;pasfls;rM;rG;w;s;pf1;pf2;pf;v;dD;mSol;mSta;mSyn
2;1;13.778;13.778;9.8344;9.8344;0.0000;0.57664;0.00026680;11.961;0.00064627;0.018200;3.3931e-05;0.0000;0.0000;0.00017043;2.2432e-05;0.0011984;0.00015774;0.0000;-2.1669e-08;7.9469e-07;3.5480e-06;0.033638;0.010665;0.98543;4.7757;0.98543;0.040303;-0.37917;0.00064616;0.00010319;0.0040489
2;2;13.774;13.774;9.8308;9.8308;0.0000;0.58355;0.00026395;11.876;0.00056584;0.018200;3.4014e-05;0.0000;0.0000;0.00017247;2.2701e-05;0.0011977;0.00015764;0.0000;-2.1552e-08;7.5701e-07;3.5610e-06;0.034391;0.010694;0.98872;5.1422;0.98872;0.041074;-0.74167;0.00065358;0.00010314;0.0040540
2;3;13.774;13.774;9.8304;9.8304;0.0000;0.59076;0.00026093;11.804;0.00056949;0.018200;3.4098e-05;0.0000;0.0000;0.00017460;2.2981e-05;0.0011999;0.00015794;0.0000;-2.1414e-08;7.5426e-07;3.5703e-06;0.035182;0.010724;0.98789;5.0852;0.98789;0.041885;-1.0854;0.00066097;0.00010309;0.0040592
2;4;13.771;13.771;9.8273;9.8273;0.0000;0.59815;0.00025785;11.716;0.00051566;0.018200;3.4182e-05;0.0000;0.0000;0.00017678;2.3269e-05;0.0011992;0.00015785;0.0000;-2.1263e-08;7.2312e-07;3.5826e-06;0.036000;0.010754;0.98967;5.3017;0.98967;0.042721;-1.4125;0.00066834;0.00010305;0.0040644
2;5;13.767;13.767;9.8238;9.8238;0.0000;0.60613;0.00025440;11.619;0.00042291;0.018200;3.4266e-05;0.0000;0.0000;0.00017914;2.3579e-05;0.0011971;0.00015757;0.0000;-2.1072e-08;6.8884e-07;3.5953e-06;0.036889;0.010784;0.99307;5.6945;0.99307;0.043629;-1.7083;0.00067569;0.00010300;0.0040697
2;6;13.774;13.774;9.8304;9.8304;0.0000;0.61414;0.00025104;11.572;0.00050513;0.018200;3.4351e-05;0.0000;0.0000;0.00018151;2.3891e-05;0.0012052;0.00015864;0.0000;-2.0883e-08;7.6056e-07;3.5967e-06;0.037788;0.010814;0.98877;5.2735;0.98877;0.044547;-2.0188;0.00068301;0.00010296;0.0040750
2;7;13.781;13.781;9.8375;9.8375;0.0000;0.62113;0.00024855;11.547;0.00067143;0.018200;3.4435e-05;0.0000;0.0000;0.00018357;2.4163e-05;0.0012157;0.00016002;0.0000;-2.0770e-08;8.4516e-07;3.5967e-06;0.038574;0.010844;0.98103;4.4745;0.98103;0.045351;-2.3938;0.00069030;0.00010292;0.0040804
2;8;13.790;13.790;9.8463;9.8463;0.0000;0.62641;0.00024739;11.561;0.00093302;0.018200;3.4519e-05;0.0000;0.0000;0.00018513;2.4368e-05;0.0012308;0.00016200;0.0000;-2.0782e-08;9.6358e-07;3.5930e-06;0.039162;0.010874;0.96964;3.2664;0.96964;0.045958;-2.8438;0.00069757;0.00010289;0.0040858
2;9;16.741;16.741;10.712;10.712;0.0000;0.62833;0.00024740;11.586;0.0011341;0.060595;8.0637e-05;0.0000;0.0000;0.00018570;2.4443e-05;0.00095788;0.00012608;0.0000;1.2716e-08;1.0458e-06;8.5290e-06;0.039335;0.010926;0.94296;0.39851;0.39851;0.046164;-3.3604;0.00070069;0.00010285;0.0041049
2;10;19.526;19.526;11.553;11.553;0.0000;0.62698;0.00024492;11.559;0.0012577;0.10010;0.00010474;0.0000;0.0000;0.00018530;2.4390e-05;0.00066455;8.7471e-05;0.0000;4.4251e-08;1.1677e-06;1.1102e-05;0.039094;0.011009;0.91969;0.0000;0.0000;0.045974;-3.9354;0.00068938;0.00010281;0.0041511
2;11;21.936;21.936;12.294;12.294;0.0000;0.62119;0.00024152;11.502;0.0014514;0.13402;0.00011904;0.0000;0.0000;0.00018359;2.4165e-05;0.00034150;4.4950e-05;0.0000;7.0874e-08;1.2725e-06;1.2625e-05;0.038317;0.011108;0.89451;0.0000;0.0000;0.045259;-4.5688;0.00066631;0.00010277;0.0042159
2;12;23.841;23.841;12.918;12.918;0.0000;0.61004;0.00023984;11.502;0.0018895;0.16005;0.00012795;0.0000;0.0000;0.00018030;2.3732e-05;0.00010436;1.3736e-05;0.0000;8.9843e-08;1.4610e-06;1.3562e-05;0.036909;0.011218;0.86048;0.0000;0.0000;0.043920;-5.2688;0.00063736;0.00010273;0.0042909
